Supplementary Data 1. Growth inhibition data against A. baumannii for model training,,,,
SMILES,Name,Rep 1,Rep 2,Mean
CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(C(C)=O)=CC[C@H]4C3CC[C@H]2C1,3-beta-ACETOXYALLOPREG-16-EN-20-ONE,1.3016,1.1397,1.22065
CC(=O)O[C@H]1C[C@@H](O)C(C)(C)C2C[C@@H](OC(C)=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)C5OC543)[C@]21C,3-DEACETYLKHIVORIN,1.0457,0.95996,1.00283
O=c1c(O)c(-c2ccccc2)oc2ccccc12,3-HYDROXYFLAVONE,0.87379,1.0517,0.962745
COc1cccc(O)c1O,3-METHOXYCATECHOL,0.90019,0.98082,0.940505
CC(=O)O[C@@H]1CC2C(C)(C)C=CC[C@]2(C)C2CC[C@@]3(C)C(c4ccoc4)OC(=O)[C@H]4O[C@]43[C@@]21C,"3,4-DEHYDRO-1,2-DIHYDRO-3-DESOXO-GEDUNIN",0.95891,1.0044,0.981655
COc1cc(C=O)cc(OC)c1OC,"3,4,5-TRIMETHOXYBENZALDEHYDE",0.98444,1.0013,0.99287
O=c1c(O)c(-c2ccc(O)cc2)oc2ccccc12,"3,4'-DIHYDROXYFLAVONE",1.1969,1.3146,1.25575
COc1ccc(-c2oc3cc(OC)c(OC)c(OC)c3c(=O)c2OC)cc1,"3,4',5,6,7-PENTAMETHOXYFLAVONE",0.95417,1.06,1.007085
O=c1c(O)c(-c2ccccc2)oc2cccc(O)c12,"3,5-DIHYDROXYFLAVONE",1.0498,1.0837,1.06675
O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,"3,7-DIHYDROXYFLAVONE",1.0391,0.88492,0.96201
COc1ccc2c(=O)c(OC)c(-c3ccccc3)oc2c1,"3,7-DIMETHOXYFLAVONE",0.78035,1.0982,0.939275
O=c1cc(-c2cccc(O)c2)oc2ccc(O)cc12,"3',6-DIHYDROXYFLAVONE",0.75648,1.0373,0.89689
CC(=O)O[C@@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@@]3(C)C4=CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC23)C1(C)C,3alpha-ACETOXYDIHYDRODEOXYGEDUNIN,0.91099,1.0018,0.956395
C=C1C2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1CC(O)C(C)(C)C(CC(=O)OC)[C@@]21C,3alpha-HYDROXY-3-DEOXYANGOLENSIC ACID METHYL ESTER,0.97071,1.1006,1.035655
CC(=O)O[C@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@]3(C)C2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@H]4O[C@]423)C1(C)C,3beta-ACETOXYDEOXODIHYDROGEDUNIN,0.91475,0.82062,0.867685
CC(CCC(=O)O)[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C,3beta-HYDROXYCHOL-5-ENIC ACID,1.0197,0.73905,0.879375
CC(=O)O[C@@H]1CC2C(C)(CC[C@H](O)C2(C)C)C2CC[C@]3(C)C(=CC(=O)O[C@H]3c3ccoc3)C21C,3beta-HYDROXYDEOXODIHYDRODEOXYGEDUNIN,1.0379,0.8518,0.94485
CC(=O)Oc1ccc(O)cc1,4-ACETOXYPHENOL,0.8929,0.9458,0.91935
COc1ccc(C=O)cc1,4-ANISALDEHYDE,1.0887,0.95376,1.02123
Cc1cc(O)cc(=O)o1,4-HYDROXY-6-METHYLPYRAN-2-ONE,1.087,1.1995,1.14325
O=C(/C=C/c1ccc(O)cc1)c1ccccc1,4-HYDROXYCHALCONE,0.77955,0.94796,0.863755
COc1ccc(/C=C/C(=O)c2ccccc2)cc1,4-METHOXYCHALCONE,0.90807,0.87487,0.89147
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccccc1,4-METHOXYDALBERGIONE,1.016,1.0832,1.0496
Cc1cc(=O)oc2c(O)c(O)ccc12,4-METHYLDAPHNETIN,0.9406,0.90702,0.92381
Cc1cc(=O)oc2cc(O)c(O)cc12,4-METHYLESCULETIN,0.9283,0.94641,0.937355
Cc1c[nH]cn1,4-METHYLIMIDAZOLE,0.90829,0.88804,0.898165
O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,4-NAPHTHALIMIDOBUTYRIC ACID,0.97344,1.1444,1.05892
CCCCCCCCCc1ccc(O)cc1,4-NONYLPHENOL,1.2382,1.1278,1.183
C=CC(C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1,"4,4'-DIMETHOXYDALBERGIONE",0.91686,0.99036,0.95361
O=C(/C=C/c1ccccc1)c1ccc(O)cc1,4'-HYDROXYCHALCONE,0.87486,0.90126,0.88806
COc1ccc(C(=O)/C=C/c2ccccc2)cc1,4'-METHOXYCHALCONE,0.8536,0.92319,0.888395
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,4'-METHOXYFLAVONE,0.87478,0.97626,0.92552
COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(OC)c3o2)c(OC)c1,"5-HYDROXY-2',4',7,8-TETRAMETHOXYFLAVONE",1.048,1.3181,1.18305
COc1ccccc1-c1cc(=O)c2c(OC)cccc2o1,"5,2'-DIMETHOXYFLAVONE",1.1647,1.2829,1.2238
COc1ccc(-c2coc3cc(O)cc(OC)c3c2=O)cc1,"5,4'-DIMETHOXY-7-HYDROXYISOFLAVONE",1.003,1.0473,1.02515
COc1ccc(-c2cc(=O)c3c(OC)cc(OC)cc3o2)cc1,"5,7,4'-TRIMETHOXYFLAVONE",1.1084,0.94477,1.026585
COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,"5,7,4'-TRIMETHOXYISOFLAVONE",1.0509,1.1334,1.09215
C[C@]12CCC3C(CC[C@H]4CC(=O)CC[C@]34C)C1CCC2=O,"5alpha-ANDROSTAN-3,17-DIONE",1.0264,0.91649,0.971445
CC(C)CCCC(C)C1CCC2C3CC(=O)[C@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,5alpha-CHOLESTAN-3beta-OL-6-ONE,1.1645,0.86172,1.01311
CC(C)CCCC(C)C1CCC2C3CC[C@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,5alpha-CHOLESTANOL,1.0717,1.0743,1.073
O=c1cccc(/C=C/c2ccc3c(c2)OCO3)o1,"6-(3,4-METHYLENEDIOXYSTYRYL)-alpha-PYRONE",0.92958,0.89049,0.910035
O=c1cc(-c2ccccc2)oc2ccc(O)cc12,6-HYDROXYFLAVONE,0.82066,0.97696,0.89881
O=c1cc(-c2ccccc2O)oc2ccc(O)cc12,"6,2'-DIHYDROXYFLAVONE",1.0405,0.96089,1.000695
COc1cccc(-c2cc(=O)c3cc(OC)ccc3o2)c1,"6,3'-DIMETHOXYFLAVONE",0.96175,0.90703,0.93439
O=c1cc(-c2ccc(O)cc2)oc2ccc(O)cc12,"6,4'-DIHYDROXYFLAVONE",1.0577,1.025,1.04135
CC(=O)O[C@H]1C[C@@H](OC(C)=O)C(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@]21C,7-DEACETOXY-7-OXOKHIVORIN,1.0639,1.0028,1.03335
CC(=O)O[C@H]1C[C@@H](OC(C)=O)C(C)(C)C2C[C@@H](O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@]21C,7-DEACETYLKHIVORIN,1.1873,1.1267,1.157
CC1(C)C(=O)C=C[C@@]2(C)C1C=C[C@]1(C)C2CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@]321,"7-DESACETOXY-6,7-DEHYDROGEDUNIN",1.3448,1.2086,1.2767
O=c1cc(-c2ccccc2)oc2cc(O)ccc12,7-HYDROXYFLAVONE,1.065,1.0589,1.06195
COc1ccc2c(=O)ccoc2c1,7-METHOXYCHROMONE,1.1283,1.1251,1.1267
COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3C(=O)CC21,"7-OXOCALLITRISIC ACID, METHYL ESTER",0.70899,1.0734,0.891195
O=c1cc(-c2ccccc2O)oc2cc(O)ccc12,"7,2'-DIHYDROXYFLAVONE",1.0751,1.0512,1.06315
COc1ccc2c(=O)cc(-c3ccccc3OC)oc2c1,"7,2'-DIMETHOXYFLAVONE",1.0831,1.3247,1.2039
O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,"7,4'-DIHYDROXYFLAVONE",1.0701,1.0831,1.0766
COc1ccc(-c2coc3cc(OC)ccc3c2=O)c(O)c1,"7,4'-DIMETHOXY-2'-HYDROXY-ISOFLAVONE",0.95834,0.98581,0.972075
COc1ccc(-c2coc3cc(OC)ccc3c2=O)cc1,"7,4'-DIMETHOXYISOFLAVONE",1.015,1.1245,1.06975
O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12,"7,8-DIHYDROXYFLAVONE",0.83726,0.95884,0.89805
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1OC,"7,8-DIMETHOXYFLAVONE",1.027,1.2942,1.1606
CC1(C)C(=O)[C@@H]2C[C@@]3(O)C4=CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC3[C@](C)(C2=O)[C@H]1CC(=O)O,8-HYDROXYCARAPINIC ACID,0.80631,0.96629,0.8863
Nc1nc(NC2CC2)c2ncn(C3C=C[C@@H](CO)C3)c2n1.O=S(=O)(O)O,ABACAVIR SULFATE,1.1396,1.0248,1.0822
CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](OC3C[C@H](OC)C(O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,ABAMECTIN (avermectin B1a shown),0.74844,0.9107,0.82957
CC(C)C1=CC2=CCC3[C@@](C)(C(=O)O)CCC[C@]3(C)C2CC1,ABIETIC ACID,0.98963,0.97189,0.98076
C[C@]12CCC3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1CC=C2c1cccnc1,ABIRATERONE,1.0267,1.0537,1.0402
CNC(Cc1c[nH]c2ccccc12)C(=O)O,ABRINE (L),0.89614,0.94297,0.919555
CC1=CC(=O)CC(C)(C)C1(O)/C=C/C(C)=C\C(=O)O,"ABSCISIC ACID (cis,trans; +/-)",1.1909,0.98166,1.08628
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,ACACETIN,1.3517,1.082,1.21685
NC(=O)c1ncn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,ACADESINE,0.97551,0.91002,0.942765
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],ACAMPROSATE CALCIUM,1.0699,1.1972,1.13355
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,ACARBOSE,0.85392,1.0671,0.96051
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,ACEBUTOLOL HYDROCHLORIDE,0.96087,1.1643,1.062585
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1.Cl,ACECAINIDE HYDROCHLORIDE,0.95018,1.467,1.20859
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,ACECLOFENAC,1.0908,0.9697,1.03025
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,ACEDAPSONE,0.93625,1.3047,1.120475
CC(=O)Nc1ccc(C(=O)O)cc1,ACEDOBEN,1.1451,1.003,1.07405
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,ACEFYLLINE,0.97685,1.0632,1.020025
CC(=O)N[C@@H](CCC(N)=O)C(=O)O,ACEGLUTAMIDE,0.97605,0.95942,0.967735
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,ACEMETACIN,1.2182,1.2522,1.2352
CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,ACENEURAMIC ACID,0.94974,0.94239,0.946065
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.O=C(O)/C=C\C(=O)O,ACEPROMAZINE MALEATE,0.84049,0.8043,0.822395
CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],ACESULFAME POTASSIUM,0.89612,0.85005,0.873085
CC(=O)Nc1ccc(O)cc1,ACETAMINOPHEN,0.98619,1.0325,1.009345
CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,ACETAMINOSALOL,1.1262,1.3939,1.26005
CC(=O)Nc1ccccc1,ACETANILIDE,0.94974,0.91957,0.934655
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,ACETARSOL,1.0772,1.0536,1.0654
CC(=O)Nc1nnc(S(N)(=O)=O)s1,ACETAZOLAMIDE,1.0962,0.91893,1.007565
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ACETOHEXAMIDE,1.0544,0.9599,1.00715
CC(=O)NO,ACETOHYDROXAMIC ACID,1.1412,1.0831,1.11215
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O,ACETOPHENAZINE MALEATE,0.97423,0.88476,0.929495
COc1cc(C(C)=O)cc(OC)c1O,ACETOSYRINGONE,0.91798,1.1263,1.02214
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,ACETRIAZOIC ACID,1.0951,1.0129,1.054
COc1cc(C)c(C(=O)O)c(OC(C)=O)c1,ACETYL EVERNINIC ACID,1.1921,1.307,1.24955
CC(=O)Oc1ccc2c(C)cc(=O)oc2c1,ACETYL HYMETOCHROME,0.91816,0.87005,0.894105
CC(=O)OC1O[C@@H](c2ccoc2)[C@]2(C)CCC3[C@]4(C)C(C[C@H](OC(C)=O)C[C@@H]4OC(C)=O)C[C@H](OC(C)=O)[C@@]3(C)C23OC13,ACETYL-DIHYDRO-7-EPIKHIVORIN,0.95336,0.89865,0.926005
CC(=O)OC(CC(=O)O)[N+](C)(C)C.[Cl-],ACETYLCARNITINE,0.92853,1.3154,1.121965
CC(=O)OCC[N+](C)(C)C.[Cl-],ACETYLCHOLINE CHLORIDE,1.1355,1.112,1.12375
CC(=O)N[C@@H](CS)C(=O)O,ACETYLCYSTEINE,0.95102,1.0256,0.98831
CC(=O)Oc1ccccc1C(=O)Nc1ccccc1,ACETYLSALICYLANILIDE,0.95925,0.99804,0.978645
CC(=O)NCCCCCC(=O)O,ACEXAMIC ACID,1.0902,0.84661,0.968405
Cc1cnc(C(=O)O)c[n+]1[O-],ACIPIMOX,0.92139,0.95507,0.93823
COc1cc(C)c(/C=C/C=C/C=C/C=C/C(=O)O)c(C)c1C,ACITRETIN,1.1789,1.0831,1.131
O=C(O)/C=C(\CC(=O)O)C(=O)O,ACONITIC ACID,1.1605,0.95501,1.057755
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],ACRIFLAVINIUM HYDROCHLORIDE,0.38499,0.39267,0.38883
CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,ACRISORCIN,0.84161,0.82897,0.83529
CC(=O)Nc1ccc(CC(=O)O)cc1,ACTARIT,1.1926,0.94314,1.06787
CC(=O)O[C@@H]1C[C@@]23C[C@@]24CC[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)C(C)(C)C4CCC3[C@]2(C)C[C@@H]3OC4(C[C@@H](C)[C@@H]3[C@@]12C)O[C@H](O)[C@]1(C)O[C@H]41,ACTEIN,0.76919,0.89785,0.83352
CCOc1ccc(S(=O)(=O)[O-])c2cccnc12.[Na+],ACTINOQUINOL SODIUM,0.95311,0.97555,0.96433
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,ACYCLOVIR,0.99873,1.1891,1.093915
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,ADAPALENE,1.0343,0.69355,0.863925
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,ADEFOVIR DIPIVOXYL,1.2452,1.1498,1.1975
O=C(CCCCCCCC(=O)NCCO)NCCO,ADELMIDROL,1.2839,1.0517,1.1678
Nc1ncnc2[nH]cnc12,ADENINE,0.93604,0.92829,0.932165
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,ADENOSINE,1.1003,1.0183,1.0593
Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,ADENOSINE 5-MONOPHOSPHATE,0.90396,0.89292,0.89844
Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.[Na+].[Na+],ADENOSINE TRIPHOSPHATE DISODIUM,0.91213,1.0833,0.997715
O=C(O)CCCCC(=O)O,ADIPIC ACID,1.1486,1.641,1.3948
OC[C@H](O)[C@H](O)[C@H](O)CO,ADONITOL,0.94697,1.1187,1.032835
CNCC(=O)c1ccc(O)c(O)c1.Cl,ADRENALONE HYDROCHLORIDE,0.908,0.87574,0.89187
C[C@]12CC(=O)C3[C@@H](CCC4=CC(=O)CC[C@@]43C)C1CCC2=O,ADRENOSTERONE,1.1718,1.1884,1.1801
CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,AFALANINE,0.84641,0.84145,0.84393
CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O,AGARIC ACID,0.93195,0.95749,0.94472
CC1=CCC[C@@H]2C1(C)CCC(C)[C@@]2(C)CC/C(C)=C/Cn1c[n+](C)c2c(N)ncnc21.[Cl-],AGELASINE,0.82283,0.80994,0.816385
N=C(N)NCCCCN.O=S(=O)(O)O,AGMATINE SULFATE,1.0839,0.92724,1.00557
COc1ccc2cccc(CCNC(C)=O)c2c1,AGOMELATINE,1.081,0.97372,1.02736
CC[C@H]1C2CC3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2C5O)N3[C@@H]1O,AJMALINE,0.96828,0.83895,0.903615
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,AKLOMIDE,0.9445,1.1549,1.0497
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,ALBENDAZOLE,1.4268,1.3968,1.4118
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,ALBUTEROL,1.0195,0.92252,0.97101
NCCCC(O)(P(=O)(O)O)P(=O)(O)O.O.O.O.[Na+],ALENDRONATE SODIUM TRIHYDRATE,1.0726,1.2258,1.1492
O=C(O)CCCCCCCC(O)C(O)CCCCCCO,ALEURETIC ACID,0.96976,1.0945,1.03213
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,ALFUZOSIN HYDROCHLORIDE,0.87772,0.86414,0.87093
CO[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@@H]1O.CO[C@@H]1[C@H](C(=O)O)O[C@@H](C)[C@@H](O)[C@H]1O,"ALGINIC ACID [Mol Wt ~200,000; monomers shown]",1.0882,1.1943,1.14125
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.O=C(O)/C=C/C(=O)O,ALISKIREN HEMIFUMARATE,0.86269,0.87833,0.87051
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,ALIZARIN,1.0345,0.95657,0.995535
NC(=O)NC1NC(=O)NC1=O,ALLANTOIN,0.85464,0.91133,0.882985
O=c1[nH]cnc2[nH]ncc12,ALLOPURINOL,1.1085,1.0212,1.06485
C=CC[C@]1(O)CCC2[C@@H]3CCC4=CCCC[C@@H]4C3CC[C@@]21C,ALLYLESTRENOL,1.3888,1.353,1.3709
C=CCN=C=S,ALLYLISOTHIOCYANATE,0.81338,0.84578,0.82958
C=CCNC(N)=S,ALLYLTHIOUREA,0.80768,0.91732,0.8625
Cn1c(=O)cc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1,ALOGLIPTIN BENZOATE,1.0615,1.5843,1.3229
O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,ALOIN,0.93655,0.89539,0.91597
CC(CCC(=O)O)[C@H]1CCC2C3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)C3CC[C@@]21C,alpha-HYDROXYDEOXYCHOLIC ACID,1.2482,1.1614,1.2048
CC1(C)CCC2=C(O1)C(=O)c1ccccc1C2=O,alpha-LAPACHONE,0.95309,0.9422,0.947645
COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,alpha-MANGOSTIN,1.1042,0.94591,1.025055
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,alpha-TOCHOPHEROL [4 mM],0.99732,0.94552,0.97142
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,alpha-TOCHOPHERYL ACETATE [4mM],1.3054,1.4315,1.36845
COc1cc2c(cc1OC)C1C(=O)c3c(O)cc4c(c3OC1CO2)C=CC(C)(C)O4,alpha-TOXICAROL (dl),1.0557,1.0625,1.0591
COc1cc(OC)c2c(c1)OC(c1ccccc1)CC2=O,ALPINETIN METHYL ETHER,0.90553,1.1226,1.014065
C=CCc1ccccc1OCC(O)CNC(C)C.Cl,ALPRENOLOL HYDROCHLORIDE,0.75753,0.79536,0.776445
O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,ALRESTATIN,1.1604,0.92544,1.04292
C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,ALTHIAZIDE,1.2437,0.92902,1.08636
C=CC[C@]1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,ALTRENOGEST,0.91316,0.89163,0.902395
CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,ALVERINE CITRATE,1.0868,0.9023,0.99455
Cl.NC12CC3CC(CC(C3)C1)C2,AMANTADINE HYDROCHLORIDE,1.0288,1.3607,1.19475
CC1(C)CCC[C@@]2(C)C1CC[C@@]1(C)OCC[C@H]21,AMBROXIDE (-),1.0567,0.97664,1.01667
Cl.Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,AMBROXOL HYDROCHLORIDE,0.70307,0.83502,0.769045
